,model,mpg,cyl,disp,hp,drat,wt,qsec,vs,am,gear,carb
18,Honda Civic,30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2
8,Merc 230,22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2
30,Maserati Bora,15.0,8,301.0,335,3.54,3.57,14.6,0,1,5,8
9,Merc 280,19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4
19,Toyota Corolla,33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1
20,Toyota Corona,21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1
27,Lotus Europa,30.4,4,95.1,113,3.77,1.5130000000000001,16.9,1,1,5,2
17,Fiat 128,32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1
31,Volvo 142E,21.4,4,121.0,109,4.11,2.78,18.6,1,1,4,2
23,Camaro Z28,13.3,8,350.0,245,3.73,3.84,15.41,0,0,3,4
21,Dodge Challenger,15.5,8,318.0,150,2.76,3.52,16.87,0,0,3,2
10,Merc 280C,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4
29,Ferrari Dino,19.7,6,145.0,175,3.62,2.77,15.5,0,1,5,6
12,Merc 450SL,17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3
3,Hornet 4 Drive,21.4,6,258.0,110,3.08,3.215,19.44,1,0,3,1
